"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2013-14,20,OKC,NBA,C,18.0,0.0,331.0,0.689,2.9,1.0,0.756,0.156,0.089,0.0,0.0,0.689,0.765,0.429,0.5,,,0.742,0.4,16.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,22,OKC,NBA,C,18.0,18.0,553.0,0.613,2.8,0.991,0.757,0.216,0.018,0.0,0.009,0.618,0.679,0.417,0.5,,0.0,0.735,0.279,29.0,0.0,,1.0,0.0,
2016-17,23,OKC,NBA,C,5.0,5.0,157.0,0.643,3.7,1.0,0.5,0.393,0.107,0.0,0.0,0.643,0.786,0.545,0.333,,,0.611,0.179,5.0,,,0.0,0.0,
2017-18,24,OKC,NBA,C,6.0,6.0,200.0,0.587,3.1,1.0,0.587,0.413,0.0,0.0,0.0,0.587,0.667,0.474,,,,0.815,0.261,12.0,,,0.0,0.0,
2018-19,25,OKC,NBA,C,5.0,5.0,159.0,0.667,5.1,0.976,0.452,0.5,0.024,0.0,0.024,0.683,0.842,0.524,1.0,,0.0,0.893,0.214,7.0,0.0,,1.0,0.0,
2019-20,26,OKC,NBA,C,7.0,7.0,210.0,0.596,2.9,0.981,0.731,0.25,0.0,0.0,0.019,0.608,0.711,0.308,,,0.0,0.452,0.135,6.0,1.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,28,MEM,NBA,C,7.0,5.0,114.0,0.429,4.9,1.0,0.429,0.476,0.048,0.048,0.0,0.429,0.444,0.5,0.0,0.0,,0.667,0.19,3.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,31,HOU,NBA,C,7.0,0.0,155.0,0.6,2.7,1.0,0.65,0.3,0.05,0.0,0.0,0.6,0.692,0.5,0.0,,,0.5,0.2,4.0,,,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,73.0,46.0,1879.0,0.614,3.5,0.992,0.652,0.304,0.033,0.003,0.008,0.619,0.706,0.459,0.417,0.0,0.0,0.701,0.247,82.0,0.333,0.0,2.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,52.0,2111.0,0.614,3.5,0.992,0.652,0.304,0.033,0.003,0.008,0.619,0.706,0.459,0.417,0.0,0.0,0.701,0.247,92.0,0.333,0.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (6 Yrs),OKC (6 Yrs),OKC (6 Yrs),OKC (6 Yrs),,59.0,41.0,1610.0,0.627,3.4,0.991,0.667,0.293,0.031,0.0,0.009,0.632,0.718,0.453,0.5,,0.0,0.714,0.253,75.0,0.333,0.0,2.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,7.0,0.0,155.0,0.6,2.7,1.0,0.65,0.3,0.05,0.0,0.0,0.6,0.692,0.5,0.0,,,0.5,0.2,4.0,,,0.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,5.0,114.0,0.429,4.9,1.0,0.429,0.476,0.048,0.048,0.0,0.429,0.444,0.5,0.0,0.0,,0.667,0.19,3.0,,,0.0,0.0,
