"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Steven Adams,,9.7,9.1,6.8,6.5,6.5,6.5,4.1,4.0,3.4,2.9,2.3,,,,,,,
Joakim Noah,89.7,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,0.1,,,,,
Marcin Gortat,89.3,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,,,,,,
Zydrunas Ilgauskas,88.2,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5,,,,,
Tom Owens,88.2,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,,,,,,
Mike Gminski,87.1,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5,0.5,0.5,0.0,,,,
Jim Eakins,86.5,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,,,,,,,
Jermaine O'Neal,86.3,10.5,9.0,6.4,6.4,5.6,4.9,4.7,3.8,2.7,2.6,2.1,2.0,1.2,1.1,0.9,0.8,0.8,0.6
Arnie Risen,85.0,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,,,,,,,
Swen Nater,84.5,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,,,,,,
Tree Rollins,84.5,9.2,7.3,6.4,6.4,5.5,5.0,4.9,4.1,3.8,3.4,2.6,1.7,1.0,0.9,0.7,0.5,0.2,0.1
