"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jalen Brunson,,11.2,8.7,8.3,7.5,5.1,2.6,2.1
Richie Guerin,91.6,12.1,8.4,7.4,7.2,5.4,3.5,1.7
Earl Monroe,89.5,9.3,8.8,8.3,7.8,7.1,2.8,2.5
Joe Dumars,89.0,9.9,8.7,8.2,7.0,5.9,4.2,3.2
Rajon Rondo,88.0,9.9,9.6,7.2,6.6,4.9,3.2,2.4
Deron Williams,87.9,11.3,10.3,8.4,7.3,7.2,4.1,2.8
Mookie Blaylock,87.5,10.2,9.4,9.0,7.0,4.9,2.1,-0.3
Steve Smith,87.5,10.2,9.1,8.1,7.9,7.8,3.5,1.5
Jeff Hornacek,87.4,11.6,9.7,8.7,7.7,6.3,5.0,1.2
Jason Terry,87.4,9.6,8.6,8.5,7.4,6.5,5.1,1.9
Billy Knight,87.2,10.7,8.4,8.3,7.1,6.0,5.8,3.7
