0
2014 Finals Most Valuable Player (Bill Russell Trophy)
2014-15 Defensive Player of the Year (Hakeem Olajuwon Trophy)
2015-16 Defensive Player of the Year (Hakeem Olajuwon Trophy)
2019 Finals Most Valuable Player (Bill Russell Trophy)
2020 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2021-22 NBA 75th Anniversary Team
