"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Ryan Gomes,,4.8,4.2,3.1,2.5,2.5,2.4,0.0,-0.2,
Kenny Walker,88.0,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,
Jackie Moreland,86.2,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,
Michael Kidd-Gilchrist,84.9,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,
Andray Blatche,84.2,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Jaxson Hayes,84.2,5.1,3.9,3.7,3.5,2.5,1.5,,,
Nemanja Bjelica,83.4,5.3,4.5,3.0,2.8,1.9,1.5,0.9,,
Cameron Johnson,83.4,5.6,5.1,3.5,3.3,2.7,2.6,,,
Scott May,82.7,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,,
Derrick Jones Jr.,82.3,4.7,4.4,3.1,2.9,2.4,2.4,2.2,1.1,0.4
Bill Calhoun,82.1,4.5,4.1,3.9,2.2,2.1,1.4,0.4,,
