"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Marreese Speights,,4.2,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6,,,,,,
Joe Meriweather,91.9,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,,,,,,
Coby Dietrick,90.7,4.5,4.4,4.1,3.0,2.9,2.5,2.3,2.1,1.7,0.3,0.1,0.0,0.0,,,
Clemon Johnson,90.2,4.3,4.0,3.7,3.5,2.2,2.0,2.0,1.7,1.2,0.9,,,,,,
Mel Counts,88.2,5.0,4.3,4.2,2.9,2.7,2.0,1.9,1.5,1.5,1.0,0.4,0.3,,,,
Jon Koncak,85.3,3.8,3.7,3.7,3.7,3.1,2.5,2.3,2.0,1.8,1.4,1.1,,,,,
Chris Dudley,83.9,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1.0,1.0,0.5,0.3,0.2,0.1,0.0,0.0
Andrew Lang,83.7,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,,
Alex Len,83.7,4.5,3.4,3.2,3.0,2.7,2.5,1.3,1.3,0.9,0.7,0.3,0.2,,,,
Otto Moore,83.5,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,,,,
Walter Dukes,81.5,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,,,,,,
