"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Paolo Banchero,,5.3,3.5,2.4,,
Jabari Smith Jr.,87.2,5.6,4.2,1.9,,
Santi Aldama,86.1,5.0,4.6,2.4,0.3,
Landry Fields,82.3,5.3,3.4,1.1,0.4,0.3
Travis Grant,81.4,5.6,4.1,1.5,0.5,
Nick Richards,81.4,5.1,4.2,3.0,1.0,0.0
Sam Smith,81.2,4.6,3.3,1.4,0.2,
Walt Budko,80.7,5.6,4.0,2.7,1.5,
Leonard Gray,79.4,4.1,4.0,1.8,,
Dave Meyers,78.9,5.0,3.9,2.4,2.2,
Tari Eason,77.7,5.0,2.6,1.3,,
