"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Nikola JoviÄ,,2.5,1.9,0.2
Mo Williams,93.8,2.5,2.2,0.2
Rodrigue Beaubois,92.3,2.2,2.0,0.2
Rumeal Robinson,92.0,2.4,1.9,-0.1
Fred Hoiberg,91.7,2.3,2.1,0.2
Frank Kudelka,90.0,2.4,1.7,0.4
Jerryd Bayless,89.9,2.7,1.6,0.3
Jim Cleamons,89.7,2.6,1.7,0.1
Darrell Griffith,88.8,2.8,2.1,0.4
Shake Milton,88.6,2.8,2.1,0.3
Kendrick Nunn,88.5,2.9,2.0,0.2
