"('Thru 15 Years', 'Player')","('Thru 15 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Goran DragiÄ,,10.3,7.5,6.8,5.7,5.3,5.1,4.7,3.5,2.8,1.6,1.3,1.0,0.4,0.4,0.1
JosÃ© CalderÃ³n,93.4,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,1.8,0.9,0.9,0.6,0.3,
Dick Snyder,90.5,10.0,8.0,6.4,6.2,6.2,6.0,4.1,3.7,3.4,1.8,0.9,0.9,0.6,,
Klay Thompson,89.9,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.6,3.1,1.8,1.8,1.7,,,
Don Buse,89.8,10.6,7.1,6.0,5.4,4.7,4.6,4.6,4.4,2.6,2.2,2.0,1.7,1.3,,
Avery Johnson,89.5,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,3.0,2.6,1.6,1.3,0.5,0.4,0.3
Muggsy Bogues,89.0,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0,-0.1,
Cuttino Mobley,88.1,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1,-0.1,,,,
Randy Smith,88.1,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2,,,
Latrell Sprewell,87.9,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,1.9,0.4,,
Jeff Teague,87.5,8.1,7.7,6.1,6.0,5.9,5.2,4.9,2.5,2.2,1.7,1.6,0.6,,,
