"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Craig Smith,,3.9,3.5,3.1,3.0,1.5,1.0
Al-Farouq Aminu,94.8,4.0,3.3,3.1,3.1,1.4,0.7
Ronny Turiaf,93.4,4.2,3.6,3.2,3.1,1.4,0.4
DÄvis BertÄns,93.1,4.0,3.5,3.1,3.1,2.3,0.9
Willie Norwood,92.2,3.8,3.5,3.3,3.0,2.6,1.1
Dwight Jones,89.8,3.9,3.8,3.1,2.9,2.6,1.3
Terry Catledge,89.5,3.6,3.5,3.3,2.5,1.7,1.6
Rodney Rogers,88.4,3.9,3.3,2.9,2.3,2.0,1.2
Kyle Kuzma,88.3,3.8,3.3,3.1,2.0,2.0,0.9
J.R. Reid,88.1,3.5,3.4,3.0,2.1,1.8,1.1
Antoine Carr,87.9,3.8,3.5,3.3,2.2,2.1,0.7
