"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
John Wall,,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,0.3,-0.2
Jon McGlocklin,93.5,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2
Darrell Armstrong,91.0,8.7,8.0,7.6,6.4,5.3,4.9,2.5,1.8,0.8,0.1,0.1
Lucius Allen,90.6,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,
Avery Johnson,90.6,9.1,8.0,6.7,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Jerry Stackhouse,90.0,9.2,7.3,6.5,5.8,4.7,3.5,2.4,2.1,1.9,1.2,0.2
Otis Birdsong,89.5,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0.0,-0.1
Brian Taylor,89.5,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,
B.J. Armstrong,89.0,8.1,7.5,7.5,7.0,4.6,4.1,2.2,1.7,1.3,0.7,0.4
Kenny Smith,88.8,9.0,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,
Michael Adams,88.2,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
