"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Ben McLemore,,3.3,2.5,0.8,0.8,0.5,0.4,0.3,0.2,0.2,
Glenn Robinson III,85.7,2.9,2.5,0.8,0.7,0.6,0.3,0.1,,,
Bob Wilkerson,79.2,3.2,2.9,0.9,0.7,0.7,0.2,-0.3,,,
Shammond Williams,79.1,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,,
Danuel House Jr.,78.7,3.6,2.3,1.3,1.0,0.7,0.6,0.5,0.0,,
Troy Brown Jr.,78.5,2.9,2.4,1.4,0.8,0.6,0.5,,,,
Khalid Reeves,75.5,3.5,2.5,1.2,1.1,0.1,0.0,,,,
Ennis Whatley,75.3,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
Jim Les,75.0,3.6,2.3,1.3,0.3,0.3,0.2,0.1,,,
Jerian Grant,74.9,3.3,2.5,1.7,0.8,0.0,,,,,
Butch Carter,74.3,3.0,2.6,1.3,0.9,0.9,-0.2,,,,
