0
2004-05 NBA 7.2 (19th)
2005-06 NBA 8.7 (2nd)
2006-07 NBA 8.6 (5th)
2007-08 NBA 10.3 (2nd)
2008-09 NBA 9.7 (2nd)
2009-10 NBA 10.1 (1st)
2010-11 NBA 9.7 (2nd)
2011-12 NBA 10.2 (1st)
2012-13 NBA 9.2 (4th)
2013-14 NBA 9.5 (4th)
2015-16 NBA 9.4 (7th)
2016-17 NBA 10.5 (4th)
2017-18 NBA 11.1 (3rd)
2019-20 NBA 9.2 (13th)
2020-21 NBA 11.7 (2nd)
2021-22 NBA 8.8 (17th)
Career 9.6 (10th)
Career NBA 9.6 (9th)
Career Playoffs 9.4 (9th)
Career NBA Playoffs 9.4 (8th)
