"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Cam Thomas,,2.5,1.2,1.0,0.8,,,
Dion Glover,89.0,2.6,1.1,0.9,0.8,0.3,0.2,
Bo Lamar,88.0,2.5,1.5,1.0,0.5,,,
Mike Davis,87.4,2.2,1.2,0.9,0.6,,,
Robert Smith,81.5,2.9,1.4,0.8,0.6,0.0,0.0,0.0
Justin Jackson,81.4,2.9,1.2,1.0,0.2,0.1,0.0,0.0
Ian Clark,80.4,2.3,1.1,0.9,0.2,-0.1,-0.1,
Hollis Thompson,80.4,2.6,2.0,1.2,0.7,,,
Johnny High,80.1,2.5,1.2,1.1,-0.1,,,
Lloyd Walton,79.5,1.9,1.1,1.1,1.1,0.1,,
Chris Douglas-Roberts,78.8,2.4,1.6,0.7,0.6,0.1,0.0,
