0
Career 8053 (71st)
Career NBA 8053 (68th)
Career Playoffs 1888 (7th)
Career NBA Playoffs 1888 (7th)
Career (Reg+Playoffs) 9941 (50th)
Career NBA (Reg+Playoffs) 9941 (46th)
