0
Career 38279 (54th)
Career NBA 38279 (51st)
Career Playoffs 7758 (8th)
Career NBA Playoffs 7758 (8th)
Career (Reg+Playoffs) 46037 (37th)
Career NBA (Reg+Playoffs) 46037 (34th)
