"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2024-25,22,SAS,NBA,SF,5,0,35,0.5,13.1,0.75,0.25,0.25,0.0,0.25,0.25,0.667,1.0,1.0,0.0,0.0,0.5,,0.0,0,0.0,0,0,
2025-26,23,SAS,NBA,SF,3,0,11,0.667,11.6,0.667,0.333,0.333,0.0,0.0,0.333,0.5,1.0,0.0,,1.0,0.0,1.0,0.0,0,0.0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,8,0,46,0.571,12.3,0.714,0.286,0.286,0.0,0.143,0.286,0.6,1.0,0.5,0.0,0.5,0.333,1.0,0.0,0,0.0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,472,0.571,12.3,0.714,0.286,0.286,0.0,0.143,0.286,0.6,1.0,0.5,0.0,0.5,0.333,1.0,0.0,0,0.0,0,0,
