"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Rodney Carney,,1.6,1.5,1.5,1.3,0.3
Jeff Grayer,94.0,1.8,1.5,1.5,1.5,0.2
Thon Maker,92.1,2.0,1.5,1.5,1.3,0.3
Dillon Brooks,86.7,1.6,1.4,1.2,1.2,0.0
John Wallace,85.1,1.6,1.5,1.0,1.0,0.3
Larry Staverman,84.0,1.6,1.6,1.4,1.2,1.1
Zeke Nnaji,81.4,1.8,1.6,1.2,1.2,0.9
Pete Chilcutt,79.4,2.1,1.5,1.4,1.0,0.7
Marc Iavaroni,78.7,1.5,1.4,1.1,1.0,0.7
Taurean Prince,78.6,2.0,1.5,1.1,1.0,0.6
Al Thornton,78.5,2.2,1.6,1.3,1.1,
