"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Morris Almond,,0.1,0.0,-0.1
Roger Mason,16.7,0.1,0.1,-0.1
Ira Bowman,-24.5,0.1,0.1,0.0
Jarell Eddie,-29.8,0.1,0.1,0.0
Lindell Wigginton,-36.6,0.2,0.1,0.0
Michael Hawkins,-41.3,0.2,0.0,0.0
Devon Dotson,-43.9,0.2,0.1,0.0
Jamison Brewer,-48.2,0.2,0.0,0.0
Jimmy Oliver,-49.1,0.2,0.2,-0.1
Awvee Storey,-49.7,0.2,0.1,0.0
Dwight Buycks,-51.4,0.2,0.1,0.0
