0
Career 3395 (96th)
Career NBA 3395 (96th)
Career Playoffs 334 (90th)
Career NBA Playoffs 334 (90th)
Career (Reg+Playoffs) 3729 (95th)
Career NBA (Reg+Playoffs) 3729 (95th)
