Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,22,WAS,NBA,PF,3.0,0.0,20.0,1.7,4.3,0.385,0.0,0.0,1.7,4.3,0.385,0.385,1.7,3.0,0.556,1.3,3.7,5.0,1.0,0.0,0.7,0.7,1.7,5.0,
2005-06,23,LAL,NBA,C,7.0,7.0,32.1,4.9,9.3,0.523,0.0,0.0,4.9,9.3,0.523,0.523,3.1,4.4,0.71,2.4,4.1,6.6,1.0,0.3,0.9,1.7,3.0,12.9,
2006-07,24,LAL,NBA,C,5.0,5.0,26.6,3.8,7.2,0.528,0.0,0.0,3.8,7.2,0.528,0.528,1.0,1.8,0.556,2.6,3.0,5.6,0.2,0.2,0.8,1.8,3.2,8.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,26,DET,NBA,C,3.0,0.0,16.0,1.0,2.7,0.375,0.0,0.0,1.0,2.7,0.375,0.375,1.0,1.3,0.75,2.0,3.0,5.0,0.0,0.0,1.0,1.0,4.0,3.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,18.0,12.0,25.9,3.4,6.8,0.5,0.0,0.0,3.4,6.8,0.5,0.5,1.9,2.9,0.66,2.2,3.6,5.8,0.6,0.2,0.8,1.4,3.0,8.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,12.0,12.0,29.8,4.4,8.4,0.525,0.0,0.0,4.4,8.4,0.525,0.525,2.3,3.3,0.675,2.5,3.7,6.2,0.7,0.3,0.8,1.8,3.1,11.1,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,3.0,0.0,16.0,1.0,2.7,0.375,0.0,0.0,1.0,2.7,0.375,0.375,1.0,1.3,0.75,2.0,3.0,5.0,0.0,0.0,1.0,1.0,4.0,3.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,3.0,0.0,20.0,1.7,4.3,0.385,0.0,0.0,1.7,4.3,0.385,0.385,1.7,3.0,0.556,1.3,3.7,5.0,1.0,0.0,0.7,0.7,1.7,5.0,
