"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2004-05,22,WAS,NBA,PF,3.0,0.0,60.0,0.385,0.385,0.385,0.556,0.442,0.692,0.0,86.0,82.0,80.0,73.0,84.0,213.0,0.0,
2005-06,23,LAL,NBA,C,7.0,7.0,225.0,0.523,0.523,0.523,0.71,0.572,0.477,0.0,115.0,109.0,107.0,95.0,107.0,143.0,0.0,
2006-07,24,LAL,NBA,C,5.0,5.0,133.0,0.528,0.528,0.528,0.556,0.538,0.25,0.0,115.0,109.0,106.0,74.0,99.0,76.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2008-09,26,DET,NBA,C,3.0,0.0,48.0,0.375,0.375,0.375,0.75,0.461,0.5,0.0,82.0,77.0,75.0,97.0,85.0,164.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,18.0,12.0,466.0,0.5,0.5,0.5,0.66,0.54,0.434,0.0,110.0,104.0,102.0,88.0,101.0,132.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,12.0,12.0,358.0,0.525,0.525,0.525,0.675,0.561,0.396,0.0,115.0,109.0,107.0,90.0,104.0,119.0,0.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,3.0,0.0,48.0,0.375,0.375,0.375,0.75,0.461,0.5,0.0,82.0,77.0,75.0,97.0,85.0,164.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,3.0,0.0,60.0,0.385,0.385,0.385,0.556,0.442,0.692,0.0,86.0,82.0,80.0,73.0,84.0,213.0,0.0,
