Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,20.0,NOP,NBA,PF,1.0,0.0,9:35,5.0,6.0,0.833,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,10.0
2014-15,21.0,NOP,NBA,PF,,0.0,,,,,,,,,,,,,,,,,,
2015-16,22.0,NOP,NBA,C,1.0,0.0,15:19,12.0,13.0,0.923,0.0,0.0,,0.0,0.0,,3.0,6.0,0.0,1.0,0.0,0.0,1.0,24.0
2016-17,23.0,NOP,NBA,C,1.0,1.0,31:50,26.0,39.0,0.667,0.0,4.0,0.0,0.0,0.0,,4.0,10.0,0.0,2.0,0.0,1.0,1.0,52.0
2017-18,24.0,NOP,NBA,PF,1.0,1.0,16:40,6.0,9.0,0.667,0.0,1.0,0.0,0.0,0.0,,1.0,2.0,1.0,0.0,0.0,1.0,2.0,12.0
2018-19,25.0,NOP,NBA,C,1.0,0.0,4:53,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
2019-20,26.0,LAL,NBA,PF,1.0,1.0,20:21,9.0,16.0,0.563,1.0,6.0,0.167,1.0,2.0,0.5,2.0,9.0,1.0,3.0,3.0,1.0,3.0,20.0
2020-21,27.0,LAL,NBA,PF,,,,,,,,,,,,,,,,,,,,
2023-24,30.0,LAL,NBA,C,1.0,0.0,22:25,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,,1.0,8.0,8.0,0.0,1.0,1.0,0.0,6.0
Career,,,NBA,,7.0,3.0,121,63.0,90.0,,2.0,14.0,,1.0,2.0,,11.0,37.0,10.0,8.0,4.0,5.0,7.0,129.0
