"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Kevin Porter Jr.,,2.9,2.2,0.8,0.3,0.0,
Louie Nelson,90.5,2.9,2.3,1.1,0.0,0.0,
Andrew Nembhard,85.1,2.8,2.0,1.2,,,
Jeff Judkins,84.1,3.0,1.8,0.7,0.6,0.2,
Tex Ritter,84.1,2.4,2.3,1.0,,,
Ralph Johnson,83.7,2.9,1.6,0.8,0.0,,
Chris Quinn,81.9,2.6,2.1,0.6,0.1,0.1,-0.2
Billy Ray Bates,80.7,3.6,2.4,0.9,0.0,,
Kendrick Nunn,80.7,2.9,2.0,0.2,,,
Mike Butler,80.2,3.1,2.3,1.6,0.1,,
Ron Sobie,79.9,3.6,2.6,0.9,0.1,,
