Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2011-12,21,NYK,NBA,PG,1.0,1.0,19.0,0.0,5.8,0.0,0.0,2.9,0.0,0.0,2.9,0.0,0.0,0.0,0.0,,0.0,2.9,2.9,0.0,2.9,0.0,2.9,5.8,0.0,0.0,111.0,
2012-13,22,NYK,NBA,SG,12.0,12.0,337.0,6.7,16.4,0.41,3.0,6.9,0.429,3.8,9.5,0.397,0.5,2.0,2.3,0.857,3.0,8.9,11.8,2.6,2.1,0.5,2.3,5.9,18.4,106.0,97.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,24,CLE,NBA,SG,20.0,16.0,695.0,4.5,12.5,0.36,2.5,7.1,0.355,2.0,5.4,0.366,0.46,2.3,3.0,0.75,1.8,5.7,7.5,1.8,1.9,1.2,1.0,3.8,13.8,109.0,104.0,
2015-16,25,CLE,NBA,SG,21.0,0.0,367.0,3.6,8.7,0.417,1.9,4.9,0.382,1.7,3.8,0.462,0.525,1.0,1.6,0.636,1.4,5.3,6.8,2.5,1.4,0.4,1.9,5.2,10.1,106.0,108.0,
2016-17,26,CLE,NBA,SG,17.0,0.0,275.0,4.5,10.8,0.417,1.8,4.7,0.385,2.7,6.1,0.441,0.5,2.5,3.1,0.824,1.1,7.4,8.5,2.9,1.8,0.5,1.1,5.8,13.4,118.0,112.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,28,HOU,NBA,SG,8.0,0.0,109.0,4.6,11.9,0.385,3.7,10.1,0.364,0.9,1.8,0.5,0.538,0.5,1.8,0.25,0.5,5.0,5.5,0.9,0.5,0.0,1.4,4.6,13.3,100.0,114.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,79.0,29.0,1802.0,4.7,12.0,0.388,2.4,6.4,0.376,2.3,5.7,0.402,0.488,1.9,2.5,0.744,1.7,6.4,8.1,2.2,1.8,0.7,1.5,4.9,13.6,108.0,106.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,58.0,16.0,1337.0,4.3,11.1,0.384,2.2,6.0,0.366,2.1,5.1,0.405,0.482,2.0,2.7,0.75,1.5,6.0,7.5,2.2,1.8,0.9,1.2,4.6,12.7,110.0,107.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,13.0,13.0,356.0,6.4,15.9,0.402,2.8,6.7,0.419,3.6,9.2,0.39,0.49,1.9,2.2,0.857,2.8,8.6,11.4,2.5,2.2,0.5,2.3,5.9,17.4,104.0,98.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,8.0,0.0,109.0,4.6,11.9,0.385,3.7,10.1,0.364,0.9,1.8,0.5,0.538,0.5,1.8,0.25,0.5,5.0,5.5,0.9,0.5,0.0,1.4,4.6,13.3,100.0,114.0,
