"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Iman Shumpert,,2.4,2.0,2.0,1.9,1.7,1.5,1.4,0.0,0.0,0.0,,
Trey Burke,84.7,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0,,,
John Crotty,83.5,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1,
Ledell Eackles,80.3,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,,,,
Mike Bratz,79.4,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,,
Willie Green,78.0,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0.0,-0.1,-0.1,-0.7
Josh Okogie,77.8,2.8,2.2,2.1,1.3,1.3,1.2,0.7,,,,,
Marko JariÄ,77.2,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,,,
Randy Brown,75.8,2.4,1.9,1.8,1.6,1.5,1.0,0.9,0.4,0.3,0.2,0.0,-0.8
Jacque Vaughn,75.1,3.5,3.0,2.0,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0.0,-0.4
Lonzo Ball,74.6,3.2,2.4,2.2,2.0,1.6,1.2,,,,,,
