Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,19,CLE,NBA,C,6,0,9,0.0,5.9,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,5.9,17.8,23.8,0.0,11.9,0.0,0.0,5.9,0.0,64,78,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,9,0.0,5.9,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,5.9,17.8,23.8,0.0,11.9,0.0,0.0,5.9,0.0,64,78,
