"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2007-08,22,DAL,NBA,C,5.0,0.0,133.0,0.472,8.5,0.972,0.472,0.083,0.278,0.139,0.028,0.486,0.647,0.333,0.2,0.6,0.0,0.471,0.278,9.0,0.0,1.0,0.0,
2008-09,23,DAL,NBA,C,10.0,0.0,192.0,0.55,8.3,1.0,0.317,0.2,0.383,0.1,0.0,0.55,0.632,0.333,0.609,0.5,,0.727,0.15,9.0,,0.0,0.0,
2009-10,24,ORL,NBA,PF,7.0,0.0,42.0,0.538,10.6,1.0,0.154,0.308,0.385,0.154,0.0,0.538,1.0,0.25,0.8,0.0,,0.143,0.077,1.0,,0.0,0.0,
2010-11,25,ORL,NBA,PF,6.0,6.0,139.0,0.421,13.6,1.0,0.184,0.053,0.211,0.553,0.0,0.421,0.714,0.0,0.375,0.381,,0.813,0.132,4.0,,0.0,0.0,
2011-12,26,BOS,NBA,PF,20.0,20.0,608.0,0.463,11.0,1.0,0.303,0.097,0.189,0.411,0.0,0.463,0.547,0.294,0.485,0.431,,0.741,0.114,17.0,,0.0,0.0,
2012-13,27,BOS,NBA,PF,6.0,5.0,204.0,0.483,9.0,1.0,0.379,0.172,0.172,0.276,0.0,0.483,0.727,0.2,0.6,0.25,,0.571,0.138,4.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,29,BOS,NBA,PF,4.0,4.0,86.0,0.35,8.2,1.0,0.25,0.35,0.25,0.15,0.0,0.35,0.4,0.286,0.4,0.333,,0.429,0.1,2.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,31,LAC,NBA,PF,1.0,0.0,4.0,0.333,4.5,1.0,0.667,0.0,0.333,0.0,0.0,0.333,0.5,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,59.0,35.0,1408.0,0.471,9.2,0.997,0.31,0.134,0.241,0.313,0.003,0.472,0.603,0.28,0.489,0.41,0.0,0.665,0.136,46.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,49.0,1957.0,0.471,9.2,0.997,0.31,0.134,0.241,0.313,0.003,0.472,0.603,0.28,0.489,0.41,0.0,0.665,0.136,64.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,30.0,29.0,898.0,0.455,9.4,1.0,0.308,0.129,0.192,0.371,0.0,0.455,0.565,0.276,0.488,0.41,,0.696,0.116,23.0,,0.0,0.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,15.0,0.0,325.0,0.521,8.4,0.99,0.375,0.156,0.344,0.115,0.01,0.526,0.639,0.333,0.485,0.545,0.0,0.64,0.198,18.0,0.0,1.0,0.0,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,13.0,6.0,181.0,0.451,12.1,1.0,0.176,0.118,0.255,0.451,0.0,0.451,0.778,0.167,0.538,0.348,,0.609,0.118,5.0,,0.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,1.0,0.0,4.0,0.333,4.5,1.0,0.667,0.0,0.333,0.0,0.0,0.333,0.5,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
