"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Larry Nance Jr.,,5.8,4.9,4.9,4.1,3.9,3.5,2.3,2.2,1.8,1.3
Tom Van Arsdale,93.8,5.5,5.0,4.8,4.4,4.0,3.1,2.7,2.2,1.4,1.0
John Johnson,91.9,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1
Harvey Grant,90.7,6.7,5.0,4.3,4.0,4.0,3.9,2.7,2.6,1.7,0.7
Bobby Portis,90.5,5.5,5.3,4.8,4.7,3.5,2.7,2.4,1.9,1.6,1.5
Sam Mitchell,90.4,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.2
Matt Bonner,90.3,6.8,4.4,4.2,4.1,4.0,3.7,2.5,2.2,2.0,1.8
P.J. Tucker,90.0,6.1,5.0,4.9,4.0,3.9,3.6,3.5,2.9,1.0,0.1
Ray Scott,89.2,5.5,5.3,4.5,3.5,3.4,3.0,2.5,2.5,2.4,1.3
Willie Naulls,89.1,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4
Morris Peterson,89.0,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6
