"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ignas Brazdeikis,,0.5,0.1,-0.1,
Eddie Mast,74.1,0.4,0.1,-0.2,
Jarrell Brantley,64.0,0.5,0.1,0.0,
Jarnell Stokes,60.2,0.5,0.1,0.1,
Ken Durrett,59.5,0.5,0.1,0.0,0.0
Andre Brown,59.2,0.4,0.0,-0.1,
Anthony Frederick,57.8,0.5,0.2,0.0,
Josh Huestis,56.1,0.5,0.2,0.0,
Greg Brown III,53.8,0.4,0.0,-0.1,
Scooter McCray,50.2,0.3,0.1,0.0,
Lazar Hayward,50.1,0.3,0.1,-0.1,
