"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Marco Belinelli,,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,
Evan Fournier,89.4,5.7,4.6,3.7,3.3,3.2,2.8,2.8,2.1,1.4,1.0,0.1,-0.1,,
Buddy Hield,87.8,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Darrell Walker,86.6,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,,,,
Steve Blake,85.1,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1.0,0.7,0.3,
Vernon Maxwell,84.4,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0.0,0.0,
Bobby Jackson,84.2,5.5,5.4,3.5,3.1,3.1,3.0,2.5,2.2,1.4,1.2,1.2,-0.6,,
George McCloud,84.1,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,,
T.J. McConnell,83.6,4.8,3.9,3.8,3.8,3.3,3.2,3.1,2.9,1.9,1.3,,,,
Anthony Peeler,83.6,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5,
Cory Joseph,83.3,4.5,3.5,3.5,3.4,3.1,2.9,2.5,2.3,2.1,1.8,1.5,0.9,0.2,0.0
