"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Thomas Robinson,,1.6,1.5,0.9,0.6,-0.1,,
Charles Pittman,86.2,1.7,1.5,0.9,0.1,,,
Dominic McGuire,85.9,1.7,1.5,0.9,0.3,0.0,-0.2,
Tony Brown,82.6,1.8,1.3,0.9,0.5,0.2,0.2,0.0
Rafael Addison,81.5,1.5,1.5,0.9,0.4,0.4,0.2,
Lamar Stevens,81.1,1.9,1.6,0.8,0.4,0.2,,
Bob Brannum,80.5,2.0,1.6,1.1,0.8,0.0,,
Bob Portman,79.8,1.9,1.2,0.8,0.5,,,
Cliff Meely,79.6,1.8,1.2,1.0,0.4,0.2,,
Semi Ojeleye,79.3,1.9,1.2,1.2,0.7,0.2,,
Anthony Randolph,79.3,1.6,1.5,1.1,0.6,0.5,0.5,
