"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Qyntel Woods,,1.3,0.2,0.0,-0.2
Mark Pope,85.6,1.3,0.1,0.0,-0.1
Stephen Howard,85.2,1.3,0.2,0.1,0.0
Chris Silva,79.0,1.3,0.3,0.2,0.0
Dwayne Jones,75.0,1.2,0.1,0.1,0.0
Randolph Keys,74.0,1.0,0.3,0.0,-0.2
Perry Jones,73.2,1.5,0.2,0.0,
Damjan RudeÅ¾,73.1,1.3,0.1,0.1,
Jackie Butler,71.4,1.2,0.1,0.1,
Michael Bradley,70.0,1.5,0.2,0.1,0.0
Mario Bennett,68.9,1.5,0.5,0.0,-0.1
