0
Active 5009 (14th)
Career 5009 (26th)
Career NBA 5009 (26th)
Career Playoffs 475 (45th)
Career NBA Playoffs 475 (45th)
Career (Reg+Playoffs) 5484 (25th)
Career NBA (Reg+Playoffs) 5484 (25th)
