Season,Team,Lg,Salary
2007-08,Memphis Grizzlies,NBA,"$3,377,160"
2008-09,Memphis Grizzlies,NBA,"$3,630,480"
2009-10,Memphis Grizzlies,NBA,"$3,883,800"
2010-11,Memphis Grizzlies,NBA,"$4,913,007"
2011-12,Memphis Grizzlies,NBA,"$6,611,571"
2012-13,Memphis Grizzlies,NBA,"$7,305,786"
2013-14,Memphis Grizzlies,NBA,"$8,000,001"
2014-15,Memphis Grizzlies,NBA,"$8,894,216"
2015-16,Memphis Grizzlies,NBA,"$9,588,426"
2016-17,Memphis Grizzlies,NBA,"$26,540,100"
2017-18,Memphis Grizzlies,NBA,"$28,530,608"
2018-19,Memphis Grizzlies,NBA,"$30,521,116"
2019-20,Utah Jazz,NBA,"$32,511,623"
2020-21,Utah Jazz,NBA,"$34,504,132"
2021-22,Utah Jazz,NBA,"$21,000,000"
2022-23,Minnesota Timberwolves,NBA,"$22,680,000"
2023-24,Minnesota Timberwolves,NBA,"$24,360,000"
2024-25,Minnesota Timberwolves,NBA,"$9,975,962"
Career,(may be incomplete),,"$286,827,988"
