Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,24,DAL,NBA,C,22,18,407,3.2,5.2,0.615,0.0,0.0,3.2,5.2,0.615,0.615,1.5,2.4,0.611,5.3,9.2,14.5,0.3,1.9,3.7,1.5,10.7,7.8,125,100,
2006-07,25,DAL,NBA,C,6,3,140,3.3,5.5,0.6,0.0,0.0,3.3,5.5,0.6,0.6,1.1,2.6,0.429,5.9,9.2,15.1,0.7,1.1,3.7,1.5,7.7,7.7,119,109,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,28,21,547,3.2,5.3,0.611,0.0,0.0,3.2,5.3,0.611,0.611,1.4,2.4,0.56,5.5,9.2,14.6,0.4,1.7,3.7,1.5,9.9,7.8,124,102,
