"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Roy Hibbert,,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,,,,,,
Steve Hawes,89.3,6.1,6.0,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1.0,,,,,
Joe Barry Carroll,88.9,7.0,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0.0,,,,,
Wayne Embry,88.4,6.7,6.3,5.6,4.5,3.4,3.4,2.0,1.9,1.5,1.2,1.1,,,,
Chris Andersen,86.6,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.2,0.0
Ervin Johnson,86.2,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0,,
Jim Fox,86.0,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,,,,,
Gorgui Dieng,85.0,5.9,5.7,4.9,2.9,2.9,2.8,2.2,2.1,1.2,0.0,,,,,
Cody Zeller,84.0,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7,,,,
Greg Ostertag,83.8,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,,,
LaSalle Thompson,83.4,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.2,0.1,0.0,-0.3
