"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Jerami Grant,,7.3,5.4,4.4,4.1,3.2,2.9,2.7,2.3,2.1,1.8,0.5,
Rodney Rogers,94.9,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2.0,1.2,0.3
Dave Gambee,90.1,7.0,5.3,5.0,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0.8,0.0
Chris Morris,89.2,7.2,4.7,4.5,4.0,3.8,3.3,3.2,2.8,1.6,1.2,1.0,
Harvey Grant,88.4,6.7,5.0,4.3,4.0,4.0,3.9,2.7,2.6,1.7,0.8,0.7,
Joe Caldwell,88.3,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,
John Johnson,88.1,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2
Ray Scott,87.9,5.5,5.3,4.5,3.5,3.4,3.0,2.5,2.5,2.4,1.3,0.9,
Clyde Lee,87.6,6.1,5.1,3.5,3.4,3.2,3.1,2.6,2.2,2.2,2.1,,
Kyle Anderson,86.8,6.2,5.6,5.1,4.5,3.5,3.5,2.8,2.7,2.7,2.5,0.3,
Matt Bonner,86.8,6.8,4.4,4.2,4.1,4.0,3.7,2.5,2.2,2.1,2.0,1.8,0.8
