"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Isaiah Jackson,,3.3,2.7,1.4,0.3
Alex Len,93.2,3.4,3.0,1.3,0.2
Å½eljko RebraÄa,91.3,3.3,2.4,1.3,0.5
Reggie Harding,91.2,3.1,2.6,1.6,0.0
Joel Anthony,88.6,3.3,3.1,1.7,0.6
Travis Knight,88.1,3.3,3.0,1.1,0.6
Michael Doleac,88.0,3.0,2.2,1.5,0.3
Willy HernangÃ³mez,86.9,3.4,2.6,1.8,0.8
Tarik Black,86.5,3.1,2.4,1.5,0.7
Nat Clifton,85.4,3.3,2.4,1.6,-0.4
Salah Mejri,84.4,3.0,2.7,1.3,1.1
