Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2006-07,25,TOR,NBA,SF,3,0,11,0.0,0.0,0.0,0.0,0.0,0.0,19.6,19.6,1.0,3.3,13.1,16.4,3.3,3.3,0.0,3.3,9.8,19.6,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0.0,0.0,0.0,0.0,0.0,0.0,19.6,19.6,1.0,3.3,13.1,16.4,3.3,3.3,0.0,3.3,9.8,19.6,
