Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,25,TOR,NBA,SF,3,0,11,0,0,0,0,0,0,6,6,1.0,1,4,5,1,1,0,1,3,6,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0,0,0,0,0,0,6,6,1.0,1,4,5,1,1,0,1,3,6,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,301,0,0,0,0,0,0,164,164,1.0,27,109,137,27,27,0,27,82,164,0,
