"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Luke Jackson,,0.1,0.1,0.0,0.0
Ben Davis,76.2,0.1,0.1,0.0,0.0
Doug Edwards,45.7,0.2,0.1,0.0,
Dennis Bell,43.0,0.1,0.0,0.0,
Jackie Robinson,29.1,0.2,0.1,0.0,
Louis King,21.0,0.3,0.1,0.0,0.0
Easy Parham,18.8,0.3,0.1,0.0,
Jacky Dorsey,18.6,0.2,0.2,-0.1,
Alando Tucker,16.7,0.2,0.1,0.0,
Isaiah Mobley,10.7,0.2,0.0,0.0,
Mfiondu Kabengele,9.1,0.2,0.2,0.1,
