"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Andrea Bargnani,,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,
Derek Strong,91.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
Glen Davis,89.7,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Justin Holiday,89.1,4.2,3.1,2.5,2.1,1.8,1.7,1.4,1.3,0.6,0.1,-0.1
Kyle O'Quinn,87.9,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,,
Tony Campbell,87.7,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Francisco GarcÃ­a,87.7,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2,
Howard Porter,86.6,4.1,3.9,2.7,2.4,2.4,1.1,1.0,,,,
John Brown,85.0,4.2,3.7,2.6,2.3,1.7,1.7,0.1,,,,
Ronny Turiaf,85.0,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0,
Jeff Cook,84.7,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,,,
