"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Noah Vonleh,,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1,
Cristiano FelÃ­cio,89.3,3.4,1.7,1.4,1.2,1.0,0.3,,,
Marty Conlon,89.1,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1
Juancho HernangÃ³mez,83.5,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,
Jarvis Hayes,82.9,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,
Jeremy Evans,81.1,2.8,1.6,1.3,0.9,0.9,0.6,0.0,,
Gus Gerard,80.8,4.3,1.9,1.5,1.3,1.3,0.5,0.3,,
David Wood,80.2,2.8,2.3,2.2,1.3,1.0,0.5,0.0,,
Quincy Acy,79.7,2.5,1.7,1.5,1.1,1.0,0.9,-0.1,,
Mark Alarie,79.6,3.1,2.2,1.5,0.9,0.6,,,,
Ira Newble,79.4,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,
