"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Dan Gadzuric,,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0
Jerome Whitehead,88.9,5.3,3.6,2.1,1.6,1.5,1.2,0.3,0.2,0.2,0.1
Goga Bitadze,84.7,5.8,3.7,1.9,1.5,1.3,0.7,,,,
Rick Robey,84.7,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,,
Zaid Abdul-Aziz,82.0,6.5,3.7,2.0,1.9,1.8,1.0,0.6,0.3,0.1,-0.3
Jordan Hill,81.6,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0.0,,
Kurt Nimphius,80.5,4.8,3.3,3.1,2.9,1.5,1.0,0.7,0.1,,
Lee Davis,80.2,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,
Mikki Moore,78.8,5.7,4.6,2.8,2.6,2.2,1.0,0.6,0.1,0.1,0.1
Marc Jackson,78.3,4.6,2.6,2.0,1.3,1.2,0.7,0.6,,,
Timofey Mozgov,77.9,5.7,4.5,3.7,1.1,1.1,0.7,0.6,0.4,,
