"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Landry Fields,,5.3,3.4,1.1,0.4,0.3,,
Sam Smith,85.7,4.6,3.3,1.4,0.2,,,
Travis Grant,85.0,5.6,4.1,1.5,0.5,,,
Don May,83.3,6.1,2.9,1.3,0.5,0.3,0.2,0.0
Larry Stewart,82.9,4.7,2.9,1.6,0.5,0.1,,
Paolo Banchero,82.3,5.3,3.5,2.4,,,,
Tari Eason,81.5,5.0,2.6,1.3,,,,
Leon Powe,80.1,4.9,4.3,1.7,0.6,0.5,,
Paul Reed,79.9,5.1,2.8,1.6,1.3,0.6,,
Jabari Smith Jr.,77.8,5.6,4.2,1.9,,,,
Santi Aldama,74.2,5.0,4.6,2.4,0.3,,,
