"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Landry Fields,,5.3,3.4,1.1,0.4,0.3
Christian Wood,87.4,5.1,2.8,0.8,0.3,0.3
Sam Smith,85.7,4.6,3.3,1.4,0.2,
Travis Grant,85.0,5.6,4.1,1.5,0.5,
Cornell Warner,84.1,4.7,3.5,1.7,0.6,0.6
DeMarre Carroll,83.3,5.8,3.1,0.5,0.5,0.1
Larry Stewart,82.9,4.7,2.9,1.6,0.5,0.1
Don May,82.5,6.1,2.9,1.3,0.2,0.0
Paolo Banchero,82.3,5.3,3.5,2.4,,
Kermit Washington,82.2,5.3,4.3,0.9,0.9,0.8
Tari Eason,81.5,5.0,2.6,1.3,,
