"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Willie Green,,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0.0,-0.1,-0.1,-0.7
Marko JariÄ,79.8,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,,,
Trey Burke,78.3,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0,,,
Iman Shumpert,78.0,2.4,2.0,2.0,1.9,1.7,1.5,1.4,0.0,0.0,0.0,,
Lonzo Ball,76.4,3.2,2.4,2.2,2.0,1.6,1.2,,,,,,
John Crotty,76.2,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1,
Clint Richardson,75.3,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,
Garrett Temple,75.2,2.7,2.4,2.2,2.2,1.6,1.5,1.2,1.2,0.8,0.4,0.3,-0.4
Torrey Craig,74.4,4.0,3.0,2.3,2.2,2.0,1.9,0.9,0.8,,,,
Mike McGee,74.3,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,,,
David Wingate,73.9,2.4,2.3,1.9,1.7,1.4,1.0,0.6,0.4,0.3,0.2,0.1,-0.5
