"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Isaiah Stewart,,4.3,4.0,3.4,2.0,1.7
Adam Keefe,93.7,4.6,4.1,3.3,2.3,1.4
Jonas Jerebko,92.9,4.4,3.5,3.3,2.0,1.4
Charlie Villanueva,92.8,4.9,3.9,3.5,1.7,1.7
Danny Fortson,92.1,4.5,4.4,3.5,1.9,1.1
Pat Cummings,90.9,4.2,4.0,2.7,2.5,1.8
Kurt Rambis,90.9,4.3,4.3,4.1,2.3,1.5
Obi Toppin,90.8,4.8,4.3,3.9,2.1,1.5
Phil Hubbard,90.4,4.6,4.5,3.4,2.6,1.6
Terrence Ross,90.3,4.2,3.6,3.5,2.4,0.9
Andrea Bargnani,90.0,4.2,3.9,2.5,1.9,1.4
