"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Eduardo NÃ¡jera,,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1
Alvin Scott,91.2,4.4,4.3,4.0,3.8,2.9,1.7,1.2,0.8,,,,
Luc Mbah a Moute,87.4,4.8,4.7,4.0,3.1,2.8,2.4,1.6,1.1,1.0,0.5,0.0,0.0
Terrence Ross,86.2,4.3,4.2,3.6,3.5,3.0,2.4,1.6,0.9,0.9,0.3,0.3,
Jan van Breda Kolff,86.2,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,,,
Danny Fortson,85.4,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0.0,,
Ron Anderson,85.3,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,,
Austin Croshere,85.0,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0
Len Chappell,84.6,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,,
Charlie Villanueva,84.5,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,
Shandon Anderson,84.4,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,
