"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Elliot Williams,,0.3,0.3,0.1,0.0
James Young,83.4,0.3,0.3,0.1,0.1
Julyan Stone,76.7,0.4,0.3,0.2,0.1
Rusty LaRue,76.0,0.3,0.3,0.1,-0.1
Briante Weber,71.2,0.4,0.3,0.0,
Chris Chiozza,69.6,0.5,0.3,0.0,0.0
Jeenathan Williams,68.2,0.3,0.3,0.0,
Milt Williams,68.2,0.4,0.2,0.1,0.1
Pete Myers,68.0,0.5,0.3,0.0,-0.1
Lance Blanks,66.6,0.4,0.2,0.1,
Jorge Guti̩rrez,65.8,0.3,0.3,0.2,
