"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Monta Ellis,,9.0,6.0,4.9,4.6,4.3,4.0,3.6,2.6,1.3,1.1,0.5,0.2
Kendall Gill,88.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,0.7,-0.4
Wesley Person,87.2,10.3,6.9,5.2,4.0,3.8,3.7,3.3,2.6,1.6,1.3,1.2,
Eric Snow,86.5,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5
Eric Bledsoe,86.3,8.2,7.0,5.6,5.4,5.3,4.1,3.7,2.5,2.3,1.3,0.3,0.2
Eddie Johnson,85.3,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8,,
Sedale Threatt,85.2,7.3,7.1,4.6,4.6,4.5,3.8,3.4,2.7,2.5,2.1,1.3,0.1
Jay Humphries,84.9,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2.0,1.9,1.8,-0.4,
Josh Hart,84.7,9.2,6.0,5.7,4.4,3.4,3.1,2.7,2.1,,,,
Bojan BogdanoviÄ,84.5,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,,
Jerry Stackhouse,84.3,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.1,1.9,1.2,0.2
