"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')"
Tyson Chandler,,10.3,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,2.1,1.9,1.8,0.6
Al Horford,85.7,10.9,10.1,9.4,8.8,8.7,7.8,7.6,7.5,6.8,6.3,6.3,6.2,5.5,5.4,4.4,2.8,1.6,1.3,
Dikembe Mutombo,85.2,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,5.2,4.8,4.7,3.8,3.1,2.3,0.8,0.2,
Marc Gasol,84.7,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8,,,,,,
Bill Laimbeer,83.6,10.8,10.5,10.1,9.8,9.2,9.0,8.8,8.5,8.0,5.4,5.4,4.9,4.7,0.5,,,,,
Alonzo Mourning,82.3,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,,,,
Brad Miller,81.7,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1,0.2,,,,,
DeAndre Jordan,81.6,12.8,11.8,11.5,11.1,9.4,7.1,6.2,5.6,5.2,5.2,3.9,1.9,1.8,1.5,1.4,1.3,1.2,,
Dave Cowens,81.2,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,,,,,,,,
Marcus Camby,81.0,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0.0,,
Andre Drummond,81.0,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.9,4.5,4.2,2.8,2.0,1.2,,,,,,
