"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 23_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2023-24,25,ORL,NBA,SF,2.0,0.0,10.0,0.667,18.4,0.333,0.333,0.0,0.0,0.0,0.667,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
2024-25,26,CLE,NBA,PF,3.0,0.0,13.0,0.25,28.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.25,,1.0,0.0,0.0,0.0,0.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,5.0,0.0,23.0,0.429,23.2,0.143,0.143,0.0,0.0,0.0,0.857,1.0,1.0,0.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,377.0,0.429,23.2,0.143,0.143,0.0,0.0,0.0,0.857,1.0,1.0,0.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,3.0,0.0,13.0,0.25,28.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.25,,1.0,0.0,0.0,0.0,0.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,2.0,0.0,10.0,0.667,18.4,0.333,0.333,0.0,0.0,0.0,0.667,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
