Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2020-21,27,DAL,NBA,C,6,0,63,6,9,0.667,0,0,6,9,0.667,0.667,3,3,1.0,3,13,16,3,2,4,3,8,15,0,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,63,6,9,0.667,0,0,6,9,0.667,0.667,3,3,1.0,3,13,16,3,2,4,3,8,15,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,861,82,123,0.667,0,0,82,123,0.667,0.667,41,41,1.0,41,178,219,41,27,55,41,109,205,0,
