"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Willie Cauley-Stein,,6.7,3.9,3.8,2.9,2.9,2.8,0.2
Johnny Newman,91.1,6.7,4.5,4.1,3.7,3.1,2.3,0.3
Robert Covington,90.3,6.1,4.0,3.7,3.1,2.5,2.0,0.1
George Carter,87.0,6.4,4.4,4.2,4.1,2.9,2.2,0.0
P.J. Tucker,86.9,6.1,4.9,3.9,3.6,3.5,2.9,0.1
Patrick Patterson,86.6,6.1,4.1,3.8,3.6,3.3,2.4,1.6
Michael Kidd-Gilchrist,86.2,5.8,3.8,3.3,3.1,2.5,2.1,0.6
Rodney Rogers,85.8,7.4,3.9,3.3,2.9,2.3,2.0,1.2
Andr̩s Nocioni,85.4,6.7,4.1,3.3,2.8,2.5,1.3,1.3
Bill Robinzine,85.4,6.9,5.5,3.4,3.0,2.4,2.3,-0.2
Kyle Anderson,85.2,6.2,5.6,3.5,2.7,2.7,2.5,0.3
