Season,Team,Lg,Salary
2009-10,Cleveland Cavaliers,NBA,"$457,588"
2010-11,San Antonio Spurs,NBA,"$94,154"
2011-12,San Antonio Spurs,NBA,"$854,389"
2012-13,San Antonio Spurs,NBA,"$3,500,000"
2013-14,San Antonio Spurs,NBA,"$3,762,500"
2014-15,San Antonio Spurs,NBA,"$4,025,000"
2015-16,San Antonio Spurs,NBA,"$10,000,000"
2016-17,San Antonio Spurs,NBA,"$10,000,000"
2017-18,San Antonio Spurs,NBA,"$10,000,000"
2018-19,Toronto Raptors,NBA,"$10,000,000"
2019-20,Los Angeles Lakers,NBA,"$14,634,146"
2020-21,Philadelphia 76ers,NBA,"$15,365,853"
2021-22,Philadelphia 76ers,NBA,"$10,000,000"
2022-23,Houston Rockets,NBA,"$9,710,528"
2022-23,Cleveland Cavaliers,NBA,"$2,000,000"
2023-24,Philadelphia 76ers,NBA,"$200,000"
Career,(may be incomplete),,"$104,604,158"
