"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Danny Green,,7.8,5.9,5.9,4.6,4.5,4.2,4.2,3.4,3.4,2.9,1.9,0.2,0.2,0.1,0.0
Vinnie Johnson,95.4,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,,
John Lucas,93.3,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1.0,0.4,
Nate McMillan,90.1,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,,,
Mario Elie,89.8,8.9,5.1,4.8,4.6,4.5,4.4,4.2,3.8,3.8,3.1,1.6,,,,
Darren Collison,88.7,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,-0.1,,,,
CJ McCollum,87.9,7.6,6.6,6.0,5.9,5.6,4.7,4.3,4.1,3.6,1.8,1.5,0.2,,,
Jameer Nelson,87.6,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.8,2.5,2.1,1.4,0.6,0.5,
Kendall Gill,87.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4
Wesley Matthews,87.5,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.2,3.1,2.7,2.6,1.7,1.2,1.2,0.4
Slater Martin,87.4,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,,,,
