"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Thon Maker,,2.0,1.5,1.5,1.3,0.3,,,,
Rodney Carney,92.1,1.6,1.5,1.5,1.3,0.3,,,,
Al Thornton,87.1,2.2,1.6,1.3,1.1,,,,,
Jericho Sims,85.7,2.6,1.5,1.5,1.3,,,,,
Chimezie Metu,83.8,2.1,1.5,1.5,0.6,0.3,-0.3,,,
Oshae Brissett,83.7,2.2,1.8,1.7,1.1,0.1,0.1,,,
Zeke Nnaji,82.9,1.8,1.6,1.2,1.2,0.9,,,,
Togo Palazzi,82.4,2.0,1.7,1.6,0.8,0.6,-0.2,,,
Michael Ruffin,81.4,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
Bob Brannum,81.0,2.0,1.6,1.1,0.8,0.0,,,,
Jeremiah Robinson-Earl,80.2,1.9,1.7,1.5,0.6,,,,,
