"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Thon Maker,,2.0,1.5,1.5,1.3,0.3
Rodney Carney,92.1,1.6,1.5,1.5,1.3,0.3
Jeff Grayer,92.1,1.8,1.5,1.5,1.5,0.2
Al Thornton,87.1,2.2,1.6,1.3,1.1,
Pete Chilcutt,85.7,2.1,1.5,1.4,1.0,0.7
Jericho Sims,85.7,2.6,1.5,1.5,1.3,
Jason Smith,85.2,2.2,1.7,1.6,1.5,0.7
Taurean Prince,85.1,2.0,1.5,1.1,1.0,0.6
Ed Manning,84.9,2.2,1.7,1.4,1.4,-0.3
Togo Palazzi,84.6,2.0,1.7,1.6,0.8,0.6
Oshae Brissett,84.3,2.2,1.8,1.7,1.1,0.1
