"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jalen Johnson,,3.8,2.4,2.1,0.0
James Jones,95.4,4.0,2.5,2.2,0.0
George Johnson,92.9,3.8,2.5,2.2,0.6
Walter Berry,92.3,3.4,2.4,2.3,
Jalen Smith,92.2,4.0,2.8,2.3,0.1
Zeke Zawoluk,91.3,3.9,2.5,1.7,
Kelly Oubre Jr.,90.2,3.7,2.2,2.0,0.4
Antoine Carr,89.2,3.8,2.2,2.1,0.7
Solomon Hill,88.9,3.5,2.7,2.1,0.4
Sam Williams,88.8,3.7,2.7,2.6,-0.1
Jaylin Williams,88.2,3.3,2.4,1.9,
