"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Wesley Johnson,,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0.0,0.0,
Steve Kuberski,91.8,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,
Damien Wilkins,88.4,2.8,1.9,1.9,1.7,1.5,1.0,1.0,0.4,0.0,-0.1
Jarvis Hayes,86.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,,
Ryan Bowen,82.4,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1
McCoy McLemore,82.4,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,,
Darrell Arthur,81.0,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0.0,
Mark Acres,80.5,2.5,2.2,1.9,1.6,0.9,0.3,,,,
Shelden Williams,80.3,2.2,2.1,2.0,1.9,1.2,0.5,,,,
Wally Walker,79.9,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,,
Quincy Acy,79.7,2.5,1.7,1.5,1.1,1.0,0.9,-0.1,,,
