Season,Team,Lg,Salary
2007-08,Washington Wizards,NBA,"$1,345,800"
2008-09,Washington Wizards,NBA,"$1,446,720"
2009-10,Minnesota Timberwolves,NBA,"$1,547,640"
Career,(may be incomplete),,"$4,340,160"
