"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Frank Mason III,,0.5,0.4,0.3,0.0,
Kennard Winchester,86.6,0.5,0.4,0.3,,
Dru Smith,85.9,0.7,0.3,0.3,,
Jaden Springer,79.6,0.6,0.5,0.3,0.0,
DaQuan Jeffries,77.6,0.6,0.3,0.3,0.0,-0.1
Corey Gaines,75.2,0.6,0.3,0.2,0.1,-0.1
Darrin Hancock,74.9,0.5,0.4,0.2,,
K.J. McDaniels,73.9,0.6,0.5,0.2,,
Mario West,71.1,0.5,0.4,0.3,0.2,
Jared Rhoden,70.5,0.6,0.3,0.1,,
DeAndre Liggins,70.1,0.6,0.5,0.5,0.0,0.0
